Dominique N.,"New York, NY",12/20/2022,5 star rating,"Jean-Georges' casual yet chic restaurant features amazing Mediterranean dishes, balanced cocktails, and impressive ambiance. The crab toast and brick oven pizza are amazing. And there is even a tree in the dining room for extra special flare!"
Bob U.,"Dublin, CA",12/2/2022,4 star rating,"beautiful decor (not shocked) and ambiance. fantastic service and wonderful food. we were a large group, which I know is annoying for the waitstaff, but they were amazing. especially in a large group, I encourage sharing of some of the whole wheat crust pizzas. we sampled the brussels sprouts (might sound odd, but was great), spinach with goat cheese and regular tomato and mozzarella. for the main I had sea bass which was delicious, although I would have preferred a bit more veggies and starch in the dish (yes I know there are some served as sides). we also ordered a bunch of desserts but the cookie plate was the favorite by far. at the table, everyone enjoyed the duck and cheeseburgerI didn't realize this was a Jean-Georges joint, but it certainly lived up to his reputation. highly recommended!"
Ketki P.,"Boston, MA",11/29/2022,4 star rating,"Came here for lunch recently. The vibe of this place is warm and comfortable. But the service could have been better. After seating at the table, no one showed up for 10-12 minutes. Our server was great. He gave good recommendations about the salad. I ordered lavender peach kombucha which was amazing. We then ordered chicory and fig salad which was served with manchego cheese. It was delicious. Highly recommend to try it. I also ordered Brussels sprouts spicy pine nut pizza. It was unique and extremely tasty. If the service would have been better I would have given 5 stars. All in all it is good place which serves great food prepared from local ingredients."
Anna Q.,"Walnut, CA",11/26/2022,1 star rating,"Terrible service, okay food. I wasn't seated until 40 minutes past my reservation time. That was already really upsetting and the food took too long to arrive. Portions were quite small and the only redeeming dishes were the pizzas, which were good but not wait-40-minutes-past-your-res-time-looking-awkward-by-the-bar good. Friend got the MP lobster, which was a really sad dish of just a poorly overcooked lobster chopped in half. I had really high expectations for this restaurant but it really, really sucked. The ambiance was beautiful and the decor was tasteful too, it just wasn't worth the time that we waited, and we weren't even full after the meal. I want to give this place the benefit of the doubt and say that we ordered the wrong dishes, but they were just too mediocre. Will not be coming back."
Gab G.,"New York, NY",11/23/2022,4 star rating,"Returned like six years later for dinner and had a great meal. Feels super pricey now, but it definitely holds up. I tried:+ Mission fig colada + Pineapple milk punch - both drinks were great+ Peekytoe crab toast - highlight #1+ Yellowfin tuna crudo - letdown, super peppery + Kale salad - little too vinegary + Chestnut gigli pasta - great + Steamed Black Sea bass - highlight #2+ Market plum and pear crisp - highlight #3+ Chocolate layer cake Overall ABC is still a fantastic choice, just be prepared to spend big time."
Sandy C.,"Vancouver, Canada",12/6/2022,5 star rating,Everything we ordered was really good. The mushrooms pizza and the duck main dish especially stood out.
Neghena H.,"Arlington, VA",12/13/2022,5 star rating,"The ambience is great, I also love how all the abc restaurants are within one building but they all have different vibes and theme. Between my friend and I we shared the ravioli, broccolini and the basil, tomato pizza. 10/10 recommend. Also dessert is a must here."
Kim X.,"New York, NY",9/18/2022,3 star rating,"This was definitely a 3.5. We got a reservation for three on a Saturday night. By the time we decided to eat here, they only had reservations at the cocktail table. It was a nice unevenly shaped tall table with three high chairs with no back support. This was fine with me but I was shocked that there were no hooks or at least a place to put/hang bags and jackets.The cocktails were ok for the price of 17-19 dollars. We shared the heirloom tomato toast which was delicious. Our waitress really didn't know the menu well bc she said it would be cut perfectly into three pieces but it came out in four. I got the honey roasted duck. It was good except there was too much of the strong white sauce which overpowered the rest of the meal. The cheeseburger and fries were good. What was disappointing was the fried chicken! My friend does not like Swiss chard. The waitress reassured her that there was barely any Swiss chard in the dish and that it was only used in the sauce. I was skeptical as the menu literally says fried chicken and Swiss chard.... The waitress was soooo wrong. If my friend had known, she would've gotten another dish or asked for the Swiss chard to be replaced. Also, the Swiss chard had a very strong rose flavored taste which was overwhelmingly bad. It was like eating perfume.It would've been a four if not for the really disappointing fried chicken dish."
Ana M.,"Brooklyn, NY",6/12/2022,3 star rating,"What a fancy restaurant! I loved the restaurant's decor style of white oak, wooden accents, and antique pieces with branches and ambient lighting. On a normal day, I wouldn't approach ABC Kitchen due to it being on the higher end of pricing - but fortunately for me, I was able to try this place out with my colleagues! The restaurant was pretty spacious and was able to accomdoate our party of 9. The waitstaff were very accomodating and checked up on us plenty of times to make sure we were okay. Our food took around ~1.5 hours to arrive, which was longer than we would've liked. I ordered a coconut water, pizza w/ basil, mozzarella, and tomato sauce, and fries. The dough of my pizza was burnt, and the sauce/cheese did not hold on well to the dough because it kept slipping off whenever I grabbed a slice. For the price, I would hope the structural integrity would be better. The fries were a delight and great appetizer to share with everyone. All in all, it was a nice place to dine at. Food was okay, but don't come if you only have an hour for lunch!"
Meng Z.,"Manhattan, New York, NY",6/3/2022,4 star rating,"Great ambiance with delicious and unique dishes! I came up with a group of friends for dinner and the ambiance was great for a friends catch up. I got the crab toast and Black Truffle, Fontina, and Farm Egg Pizza to share with my boyfriend.  Both dishes were absolutely delicious and unique. The crab toast was really fresh and the squeeze of lemon juice on top really adds to it. I love the truffle and the egg mix on the pizza. It was honestly a great combo and a tasty pizza. Can't wait to come back and try the other unique dishes they have!"
Tanya I.,"New York, NY",5/12/2022,5 star rating,"Every time you visit ABC Kitchen, you can be sure that you will have a great experience. The restaurant features a changing menu, to feature seasonal vegetable dishes, while also maintaining favorites.We kicked off the night with the Roasted Carrot and Avocado salad... 1 word: Amazing! I am not necessarily the biggest fan of carrots, but this dish is sweet and savory and everything you could want in a salad.Next is the Fluke Tartare. I did not expect much from this dish as ABC Kitchen is usually more focused on locally sourced veggies, but it was definitely tasty. Also the chips - they are so light and crispy I don't even know.We also ordered the calamari. This is very different than fried calamari I've gotten at other places. ABC Kitchen's chef fries them to perfection with a sweet/salty crust. Hence... the pretzel taste.Our last starter was the Black Truffle Stracciatella. This was liquid gold. I have nothing else to say.Any pizza you get is honestly delicious. I don't have anything bad to say about them. The crust: yum! The toppings: yum!The Habanero Fried Chicken is a refreshing and elevated take on fried chicken. The crispiness is light and fluffy, and the spice is at just the right level. ABC Kitchen outdoes itself with that one. I order this dish with a side of mashed potatoes and it is honestly one of the best I have ever had.The duck is seasonal, and so popular that it is sometimes sold out when we go!! Absolutely delicious. I don't usually love duck but this was so good.The Ricotta Ravioli... I am not usually a fan of ravioli, funnily enough, but this dish is so tasty. I know this review may seem like an ode to ABC Kitchen, but honestly, everything I have tried here was a 10/10.For desserts... The chocolate cake is absolutely amazing. I don't know what type of chocolate crunch they put on there but it made the whole cake so much better. And the toasted marshmallows?? I mean... yum!Finally... You CANNOT skip this Caramel Sundae. It has everything you could love. Hot chocolate fudge, crispy caramel popcorn and delicious ice cream. What more can I say?"
Tina W.,"New York, NY",2/26/2022,4 star rating,Had a great dining a while ago. Just need to catch up with all my reviews. Food is delicious and it's better to take your date here rather dining aloneI had their salad and beef tartar. Both are great.
Ria G.,"New York, NY",3/18/2022,4 star rating,"What a gem! Beautiful interior and a great spot for a date or catching up with some friends. The interior is very spacious and wonderfully decorated. Ordered the crab toast, black truffle pizza, and ricotta ravioli. Crab toast: 10/10 - the flavors melt in your mouth and the dish tastes even better with the lemon squeezed on top. The rest of the reviews aren't exaggerating how great this dish is. Black truffle pizza: 10/10 - I love anything with truffle but the thin crust and egg really made this pizza standout to me. I crave it!Ricotta Ravioli: 5/10 - it doesn't taste bad by any means but is just very normal and I could have eaten this anywhere else/even made it at home 4/5 stars for the very slow service"
Stephanie D.,"Los Angeles, CA",2/15/2022,5 star rating,"Came here for a business dinner and had a great time. I would absolutely recommend this for a group, or even just for a date night out!The ambiance is pretty cool in the restaurant, with distinct white furniture illuminated by great mood lighting. The high ceilings with exposed beams really added to the ambiance too.Our server was extremely helpful with recommendations, as we ended up ordering a bunch of wine and shared appetizers. We ordered the peekytoe crab toast, Long Island fluke tartare, and kale salad to share. All of the ingredients were fresh and flavors complex. In particular, I loved the crab toast with buttery bread and fresh crab! For my entree, I enjoyed the duck breast, which was beautifully prepared and well proportioned. I usually never order duck but felt inspired by the mushroom dashi. It lended a great umami to the dish. I would definitely come back."
